2025-01-31 01:23:06.071664 +0700 WIB m=+8943.543908542~::1~POST~/api/v1/admin/CategoryDevelopments~ "Header=>Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:171 | Sec-Ch-Ua-Platform:"macOS" | Signature:e58d6ad4bad2d38dd91ee1b2a68d2a60 | Accept-Language:en-US,en | Origin:http://localhost:3000 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Connection:keep-alive | Accept:*/* | Sec-Fetch-Mode:cors | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"UPDATE","ParamUpdate":"status","Id":"4","Name":"","Status":"0"}~200~2025-01-31 01:23:06.080536 +0700 WIB m=+8943.552748292~17.75µs~
2025-01-31 01:23:06.104382 +0700 WIB m=+8943.576594667~::1~POST~/api/v1/admin/CategoryDevelopments~ "Header=>Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty | Signature:a9d4d0aa9aa5e6ddc8acf9afc0a88ee1 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Accept:*/* | Accept-Language:en-US,en | Referer:http://localhost:3000/ | Content-Length:183 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Mode:cors"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Name":"","Status":"","Page":1,"RowPage":5,"OrderBy":"","Order":""}~200~2025-01-31 01:23:06.11556 +0700 WIB m=+8943.587772084~15.167µs~
2025-01-31 01:23:10.266764 +0700 WIB m=+8947.738976126~::1~POST~/api/v1/admin/CategoryDevelopments~ "Header=>Sec-Fetch-Dest:empty | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Signature:a9d4d0aa9aa5e6ddc8acf9afc0a88ee1 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:183"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Name":"","Status":"","Page":1,"RowPage":5,"OrderBy":"","Order":""}~200~2025-01-31 01:23:10.276812 +0700 WIB m=+8947.749024042~14.625µs~
2025-01-31 01:23:11.324215 +0700 WIB m=+8948.796427459~::1~POST~/api/v1/admin/CategoryDevelopments~ "Header=>Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Content-Length:171 | Accept:*/* | Accept-Language:en-US,en | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Fetch-Dest:empty | Signature:22b8710269b5983f30893e6da865242a | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"UPDATE","ParamUpdate":"status","Id":"4","Name":"","Status":"1"}~200~2025-01-31 01:23:11.339067 +0700 WIB m=+8948.811279584~52.292µs~
2025-01-31 01:23:11.374064 +0700 WIB m=+8948.846275959~::1~POST~/api/v1/admin/CategoryDevelopments~ "Header=>Connection:keep-alive | Signature:a9d4d0aa9aa5e6ddc8acf9afc0a88ee1 | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Sec-Gpc:1 | Referer:http://localhost:3000/ | Content-Length:183 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Name":"","Status":"","Page":1,"RowPage":5,"OrderBy":"","Order":""}~200~2025-01-31 01:23:11.384298 +0700 WIB m=+8948.856510709~15.125µs~
2025-01-31 01:23:12.373588 +0700 WIB m=+8949.845800667~::1~POST~/api/v1/admin/CategoryDevelopments~ "Header=>Content-Length:171 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Signature:9c5e94d2ffe50ea5d6bc7503077439e8 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Origin:http://localhost:3000"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"UPDATE","ParamUpdate":"status","Id":"3","Name":"","Status":"1"}~200~2025-01-31 01:23:12.383224 +0700 WIB m=+8949.855436042~23.083µs~
2025-01-31 01:23:12.410587 +0700 WIB m=+8949.882799709~::1~POST~/api/v1/admin/CategoryDevelopments~ "Header=>Sec-Fetch-Dest:empty | Signature:a9d4d0aa9aa5e6ddc8acf9afc0a88ee1 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Accept:*/* | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:183 | Sec-Gpc:1 | Sec-Fetch-Mode:cors"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Name":"","Status":"","Page":1,"RowPage":5,"OrderBy":"","Order":""}~200~2025-01-31 01:23:12.422951 +0700 WIB m=+8949.895163417~14.333µs~
2025-01-31 01:23:13.068331 +0700 WIB m=+8950.540543126~::1~POST~/api/v1/admin/CategoryDevelopments~ "Header=>Sec-Gpc:1 | Content-Length:171 | Signature:96898fd0cc10cb35af7795234ee79914 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Accept-Language:en-US,en | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Accept:*/* | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"UPDATE","ParamUpdate":"status","Id":"2","Name":"","Status":"1"}~200~2025-01-31 01:23:13.078948 +0700 WIB m=+8950.551160501~19.417µs~
2025-01-31 01:23:13.107401 +0700 WIB m=+8950.579613584~::1~POST~/api/v1/admin/CategoryDevelopments~ "Header=>Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Signature:a9d4d0aa9aa5e6ddc8acf9afc0a88ee1 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Length:183 | Accept:*/* | Referer:http://localhost:3000/ | Sec-Fetch-Site:same-site | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Name":"","Status":"","Page":1,"RowPage":5,"OrderBy":"","Order":""}~200~2025-01-31 01:23:13.117522 +0700 WIB m=+8950.589733834~15.833µs~
2025-01-31 01:23:17.86771 +0700 WIB m=+8955.339922667~::1~POST~/api/v1/admin/CategoryDevelopments~ "Header=>Accept:*/* | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Connection:keep-alive | Signature:a9d4d0aa9aa5e6ddc8acf9afc0a88ee1 | Content-Type:application/json | Content-Length:183 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Name":"","Status":"","Page":1,"RowPage":5,"OrderBy":"","Order":""}~200~2025-01-31 01:23:17.87676 +0700 WIB m=+8955.348972042~14.291µs~
