2025-01-30 10:35:29.269702 +0700 WIB m=+486.676649501~::1~POST~/api/v1/admin/CoreValues~ "Header=>Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Signature:8fbfb59048cde513f45ff92bc778ea58 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Content-Length:202 | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 10:35:29.301411 +0700 WIB m=+486.708359210~6.375µs~
2025-01-30 10:35:44.387661 +0700 WIB m=+501.794609376~::1~POST~/api/v1/admin/CoreValues~ "Header=>Content-Length:202 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Mode:cors | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Signature:8fbfb59048cde513f45ff92bc778ea58 | Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3000"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 10:35:44.426464 +0700 WIB m=+501.833412043~18.458µs~
2025-01-30 10:36:02.833605 +0700 WIB m=+520.240552585~::1~POST~/api/v1/admin/CoreValues~ "Header=>Content-Type:application/json | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Connection:keep-alive | Signature:8fbfb59048cde513f45ff92bc778ea58 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Site:same-site | Content-Length:202 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Origin:http://localhost:3000"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 10:36:02.861537 +0700 WIB m=+520.268485335~18.542µs~
2025-01-30 10:36:07.749283 +0700 WIB m=+525.156230585~::1~POST~/api/v1/admin/CoreValues~ "Header=>Content-Length:202 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Accept-Language:en-US,en | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:8fbfb59048cde513f45ff92bc778ea58 | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 10:36:07.762812 +0700 WIB m=+525.169760335~7.5µs~
2025-01-30 10:36:45.955291 +0700 WIB m=+563.362238585~::1~POST~/api/v1/admin/CoreValues~ "Header=>Signature:8fbfb59048cde513f45ff92bc778ea58 | Accept:*/* | Origin:http://localhost:3000 | Content-Type:application/json | Accept-Language:en-US,en | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:202 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Sec-Fetch-Site:same-site"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 10:36:46.035914 +0700 WIB m=+563.442862168~12.833µs~
2025-01-30 10:37:04.377531 +0700 WIB m=+581.784478876~::1~POST~/api/v1/admin/CoreValues~ "Header=>Content-Length:202 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Content-Type:application/json | Accept:*/* | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Connection:keep-alive | Signature:8fbfb59048cde513f45ff92bc778ea58 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 10:37:04.450264 +0700 WIB m=+581.857211710~15.834µs~
2025-01-30 10:39:27.352166 +0700 WIB m=+724.759114418~::1~POST~/api/v1/admin/CoreValues~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Origin:http://localhost:3000 | Accept:*/* | Sec-Fetch-Mode:cors | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:202 | Signature:8fbfb59048cde513f45ff92bc778ea58 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS""~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 10:39:27.396894 +0700 WIB m=+724.803841543~11.833µs~
2025-01-30 10:39:27.331245 +0700 WIB m=+724.738192835~::1~POST~/api/v1/admin/CoreValues~ "Header=>Sec-Fetch-Dest:empty | Signature:8fbfb59048cde513f45ff92bc778ea58 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Origin:http://localhost:3000 | Content-Length:202 | Sec-Ch-Ua-Mobile:?0 | Accept:*/*"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 10:39:27.398844 +0700 WIB m=+724.805792210~7µs~
2025-01-30 10:39:28.164204 +0700 WIB m=+725.571152293~::1~POST~/api/v1/admin/CoreValues~ "Header=>Content-Length:203 | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Content-Type:application/json | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Signature:eebb5e0a6a74088956356fe9061170b8 | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Id":"","Method":"UPDATE","ParamUpdate":"status","Title":"","TitleDesc":"","Description":"","Status":"0"}~200~2025-01-30 10:39:28.181245 +0700 WIB m=+725.588192876~19.583µs~Id can't null value
2025-01-30 10:39:33.836673 +0700 WIB m=+731.243620543~::1~POST~/api/v1/admin/CoreValues~ "Header=>Connection:keep-alive | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Gpc:1 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:202 | Signature:8fbfb59048cde513f45ff92bc778ea58 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 10:39:33.852137 +0700 WIB m=+731.259084793~17.333µs~
2025-01-30 10:39:34.798085 +0700 WIB m=+732.205033335~::1~POST~/api/v1/admin/CoreValues~ "Header=>Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Length:204 | Sec-Ch-Ua-Platform:"macOS" | Signature:1c5bf5d03137777aadd94ca44366e20a | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Connection:keep-alive | Origin:http://localhost:3000"~{"Username":"admin_lippoland","ParamKey":"MTczODIwNzkyMzc4MzU0NA==hIj5XiaxVLQth6zSXsxi6d2zOmTYme","Id":"1","Method":"UPDATE","ParamUpdate":"status","Title":"","TitleDesc":"","Description":"","Status":"0"}~200~2025-01-30 10:39:34.811861 +0700 WIB m=+732.218808876~17.5µs~
