2025/01/30 01:11:12 2025-01-30 01:11:12.359444 +0700 WIB m=+3.914683918~::1~POST~/api/v1/admin/HeroHome~ "Header=>Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Signature:42cccc4fcad58bb42fb80706d32c2749 | Sec-Ch-Ua-Mobile:?0 | Connection:keep-alive | Content-Length:202 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS""~{"Username":"admin_lippoland","ParamKey":"MTczODE3MzExNTg5Nzg1OA==kIr5AVmDxEWLdHl75hQmRqOhHMbo7D","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 01:11:12.368163 +0700 WIB m=+3.923401960~13.584µs~
2025/01/30 01:11:18 2025-01-30 01:11:18.313291 +0700 WIB m=+9.868530001~::1~POST~/api/v1/admin/HeroHome~ "Header=>Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Content-Length:238 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Sec-Fetch-Dest:empty | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Signature:31da4bf4fb6b182453e94ca7eb5de0bb | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Gpc:1 | Origin:http://localhost:3000"~{"Username":"admin_lippoland","ParamKey":"MTczODE3MzExNTg5Nzg1OA==kIr5AVmDxEWLdHl75hQmRqOhHMbo7D","Method":"UPDATE","ParamUpdate":"status","Id":"1","FileNameImageOld":"","FileNameImage":"","Base64DataImage":"","Title":"","Description":""}~200~2025-01-30 01:11:18.400613 +0700 WIB m=+9.955852335~14.542µs~
2025/01/30 01:11:18 2025-01-30 01:11:18.451651 +0700 WIB m=+10.006890501~::1~POST~/api/v1/admin/HeroHome~ "Header=>Connection:keep-alive | Content-Length:202 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Signature:42cccc4fcad58bb42fb80706d32c2749 | Content-Type:application/json | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/"~{"Username":"admin_lippoland","ParamKey":"MTczODE3MzExNTg5Nzg1OA==kIr5AVmDxEWLdHl75hQmRqOhHMbo7D","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 01:11:18.462635 +0700 WIB m=+10.017874710~15.875µs~
2025/01/30 01:11:57 2025-01-30 01:11:57.201329 +0700 WIB m=+48.756568918~::1~POST~/api/v1/admin/HeroHome~ "Header=>Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:202 | Accept:*/* | Sec-Gpc:1 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Signature:42cccc4fcad58bb42fb80706d32c2749 | Content-Type:application/json"~{"Username":"admin_lippoland","ParamKey":"MTczODE3MzExNTg5Nzg1OA==kIr5AVmDxEWLdHl75hQmRqOhHMbo7D","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 01:11:57.267403 +0700 WIB m=+48.822642126~13.083µs~
2025/01/30 01:11:58 2025-01-30 01:11:58.577489 +0700 WIB m=+50.132728001~::1~POST~/api/v1/admin/HeroHome~ "Header=>Content-Length:238 | Signature:31da4bf4fb6b182453e94ca7eb5de0bb | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Gpc:1 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept:*/* | Accept-Language:en-US,en | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODE3MzExNTg5Nzg1OA==kIr5AVmDxEWLdHl75hQmRqOhHMbo7D","Method":"UPDATE","ParamUpdate":"status","Id":"1","FileNameImageOld":"","FileNameImage":"","Base64DataImage":"","Title":"","Description":""}~200~2025-01-30 01:11:58.592266 +0700 WIB m=+50.147505710~14.167µs~
2025/01/30 01:11:58 2025-01-30 01:11:58.655083 +0700 WIB m=+50.210322210~::1~POST~/api/v1/admin/HeroHome~ "Header=>Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Content-Length:202 | Signature:42cccc4fcad58bb42fb80706d32c2749 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODE3MzExNTg5Nzg1OA==kIr5AVmDxEWLdHl75hQmRqOhHMbo7D","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 01:11:58.665044 +0700 WIB m=+50.220283085~13.959µs~
2025/01/30 01:12:28 2025-01-30 01:12:28.662128 +0700 WIB m=+80.217367001~::1~POST~/api/v1/admin/HeroHome~ "Header=>Accept-Language:en-US,en | Origin:http://localhost:3000 | Content-Length:202 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Signature:42cccc4fcad58bb42fb80706d32c2749 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Type:application/json | Sec-Fetch-Mode:cors"~{"Username":"admin_lippoland","ParamKey":"MTczODE3MzExNTg5Nzg1OA==kIr5AVmDxEWLdHl75hQmRqOhHMbo7D","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 01:12:28.794902 +0700 WIB m=+80.350141835~7.334µs~
2025/01/30 01:12:29 2025-01-30 01:12:29.92216 +0700 WIB m=+81.477399501~::1~POST~/api/v1/admin/HeroHome~ "Header=>Signature:7f98c4d1db0891fc1588db8d80a5904e | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:251 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site"~{"Username":"admin_lippoland","ParamKey":"MTczODE3MzExNTg5Nzg1OA==kIr5AVmDxEWLdHl75hQmRqOhHMbo7D","Method":"UPDATE","ParamUpdate":"status","Id":"1","FileNameImageOld":"","FileNameImage":"","Base64DataImage":"","Title":"","Description":"","Status":"0"}~200~2025-01-30 01:12:29.932242 +0700 WIB m=+81.487481668~13.125µs~
2025/01/30 01:12:30 2025-01-30 01:12:29.997757 +0700 WIB m=+81.552996460~::1~POST~/api/v1/admin/HeroHome~ "Header=>Sec-Gpc:1 | Referer:http://localhost:3000/ | Content-Length:202 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Origin:http://localhost:3000 | Sec-Ch-Ua-Mobile:?0 | Content-Type:application/json | Accept:*/* | Sec-Fetch-Dest:empty | Signature:42cccc4fcad58bb42fb80706d32c2749 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS""~{"Username":"admin_lippoland","ParamKey":"MTczODE3MzExNTg5Nzg1OA==kIr5AVmDxEWLdHl75hQmRqOhHMbo7D","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 01:12:30.007586 +0700 WIB m=+81.562825585~11.875µs~
2025/01/30 01:12:31 2025-01-30 01:12:31.668267 +0700 WIB m=+83.223506710~::1~POST~/api/v1/admin/HeroHome~ "Header=>Content-Type:application/json | Accept:*/* | Sec-Gpc:1 | Signature:42cccc4fcad58bb42fb80706d32c2749 | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:202 | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty"~{"Username":"admin_lippoland","ParamKey":"MTczODE3MzExNTg5Nzg1OA==kIr5AVmDxEWLdHl75hQmRqOhHMbo7D","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 01:12:31.683609 +0700 WIB m=+83.238848501~23µs~
2025-01-30 01:12:54.852724 +0700 WIB m=+106.407963001~::1~POST~/api/v1/admin/HeroHome~ "Header=>Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Signature:d893e7f327cf956cdc3f0c536f0f636c | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Site:same-site | Content-Length:251 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS""~{"Username":"admin_lippoland","ParamKey":"MTczODE3MzExNTg5Nzg1OA==kIr5AVmDxEWLdHl75hQmRqOhHMbo7D","Method":"UPDATE","ParamUpdate":"status","Id":"1","FileNameImageOld":"","FileNameImage":"","Base64DataImage":"","Title":"","Description":"","Status":"1"}~200~2025-01-30 01:12:54.987974 +0700 WIB m=+106.543213126~15.75µs~
2025-01-30 01:12:55.103162 +0700 WIB m=+106.658401376~::1~POST~/api/v1/admin/HeroHome~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Site:same-site | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:202 | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Connection:keep-alive | Signature:42cccc4fcad58bb42fb80706d32c2749 | Sec-Gpc:1"~{"Username":"admin_lippoland","ParamKey":"MTczODE3MzExNTg5Nzg1OA==kIr5AVmDxEWLdHl75hQmRqOhHMbo7D","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-30 01:12:55.140984 +0700 WIB m=+106.696223168~15.417µs~
