2025-01-28 13:25:43.746816 +0700 WIB m=+75.692773376~::1~POST~/api/v1/web/ListStats~ "Header=>Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Signature:95b99d708327939f346d73dd193a7b76 | Connection:keep-alive | Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept:*/* | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Referer:http://localhost:3000/ | Content-Length:17"~{"Ip":"","Id":""}~2002025-01-28 13:25:43.777945 +0700 WIB m=+75.72390270931.129333ms~
2025-01-28 13:25:43.746835 +0700 WIB m=+75.692793001~::1~POST~/api/v1/web/ListHeaderMenu~ "Header=>Origin:http://localhost:3000 | Content-Type:application/json | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Connection:keep-alive | Content-Length:17 | Sec-Ch-Ua-Mobile:?0"~{"Ip":"","Id":""}~2002025-01-28 13:25:43.77797 +0700 WIB m=+75.72392787631.134875ms~
2025-01-28 13:25:43.748824 +0700 WIB m=+75.694781126~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Sec-Fetch-Mode:cors | Content-Length:17 | Content-Type:application/json | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Sec-Gpc:1 | Accept-Language:en-US,en | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Dest:empty | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76"~{"Ip":"","Id":""}~2002025-01-28 13:25:43.778099 +0700 WIB m=+75.72405658429.275458ms~
2025-01-28 13:29:13.983457 +0700 WIB m=+285.929414376~::1~POST~/api/v1/web/AboutUsHero~ "Header=>Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Length:17 | Origin:http://localhost:3000 | Signature:95b99d708327939f346d73dd193a7b76 | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty | Content-Type:application/json"~{"Ip":"","Id":""}~2002025-01-28 13:29:14.094312 +0700 WIB m=+286.040269292110.854916ms~
2025-01-28 13:29:13.982434 +0700 WIB m=+285.928391459~::1~POST~/api/v1/web/ListHeaderMenu~ "Header=>Content-Length:17 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Signature:95b99d708327939f346d73dd193a7b76 | Accept:*/* | Referer:http://localhost:3000/ | Content-Type:application/json | Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24""~{"Ip":"","Id":""}~2002025-01-28 13:29:14.094324 +0700 WIB m=+286.040281334111.889875ms~
2025-01-28 13:29:13.982442 +0700 WIB m=+285.928399542~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Accept-Language:en-US,en | Sec-Gpc:1"~{"Ip":"","Id":""}~2002025-01-28 13:29:14.094568 +0700 WIB m=+286.040525209112.125667ms~
2025-01-28 13:30:08.244683 +0700 WIB m=+340.190641001~::1~POST~/api/v1/web/ListStats~ "Header=>Accept-Language:en-US,en | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Referer:http://localhost:3000/ | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Accept:*/* | Sec-Fetch-Site:same-site | Connection:keep-alive | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Mode:cors"~{"Ip":"","Id":""}~2002025-01-28 13:30:08.300941 +0700 WIB m=+340.24689820956.257208ms~
2025-01-28 13:30:08.245197 +0700 WIB m=+340.191154459~::1~POST~/api/v1/web/AboutUsHero~ "Header=>Connection:keep-alive | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Content-Type:application/json | Accept-Language:en-US,en | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Referer:http://localhost:3000/ | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Mode:cors"~{"Ip":"","Id":""}~2002025-01-28 13:30:08.299466 +0700 WIB m=+340.24542391754.269458ms~
2025-01-28 13:30:08.245006 +0700 WIB m=+340.190963459~::1~POST~/api/v1/web/ListHeaderMenu~ "Header=>Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Content-Length:17 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Sec-Fetch-Dest:empty"~{"Ip":"","Id":""}~2002025-01-28 13:30:08.301234 +0700 WIB m=+340.24719191756.228458ms~
2025-01-28 13:30:08.245203 +0700 WIB m=+340.191160042~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Accept-Language:en-US,en | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Length:17 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd | Sec-Fetch-Dest:empty | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors"~{"Ip":"","Id":""}~2002025-01-28 13:30:08.305374 +0700 WIB m=+340.25133175160.171709ms~
