2025-01-28 00:30:44.427982 +0700 WIB m=+1096.617377792~::1~POST~/api/v1/web/ListHeroHome~ "Header=>Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en | Referer:http://localhost:3000/ | Connection:keep-alive | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Signature:95b99d708327939f346d73dd193a7b76 | Content-Type:application/json | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty"~{"Ip":"","Id":""}~2002025-01-28 00:30:44.435927 +0700 WIB m=+1096.6253228767.945084ms~
2025-01-28 00:31:47.228646 +0700 WIB m=+1159.418041042~::1~POST~/api/v1/web/ListCategoryDevHome~ "Header=>Content-Length:17 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Accept-Language:en-US,en | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Gpc:1"~{"Ip":"","Id":""}~2002025-01-28 00:31:47.653273 +0700 WIB m=+1159.842668376424.627334ms~
2025-01-28 00:31:47.224238 +0700 WIB m=+1159.413633167~::1~POST~/api/v1/web/ListHeroHome~ "Header=>Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Content-Type:application/json | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Content-Length:17 | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Referer:http://localhost:3000/"~{"Ip":"","Id":""}~2002025-01-28 00:31:47.653321 +0700 WIB m=+1159.842716792429.083625ms~
2025-01-28 00:31:47.227983 +0700 WIB m=+1159.417378584~::1~POST~/api/v1/web/ListImageDevHome~ "Header=>Connection:keep-alive | Content-Length:34 | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Referer:http://localhost:3000/ | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Signature:b90e9277bde8ee5ec6105cf466e204f2 | Accept:*/* | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24""~{"Ip":"","Id":"","CategoryId":"1"}~2002025-01-28 00:31:47.653353 +0700 WIB m=+1159.842748209425.369625ms~
2025/01/28 00:34:08 2025-01-28 00:34:08.888345 +0700 WIB m=+9.966562626~::1~POST~/api/v1/web/ListCategoryDevHome~ "Header=>Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Signature:95b99d708327939f346d73dd193a7b76 | Accept:*/* | Accept-Language:en-US,en"~{"Ip":"","Id":""}~2002025-01-28 00:34:08.981375 +0700 WIB m=+10.05959212693.0295ms~
2025/01/28 00:34:08 2025-01-28 00:34:08.888418 +0700 WIB m=+9.966635667~::1~POST~/api/v1/web/ListImageDevHome~ "Header=>Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Content-Length:34 | Signature:b90e9277bde8ee5ec6105cf466e204f2 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json"~{"Ip":"","Id":"","CategoryId":"1"}~2002025-01-28 00:34:08.981402 +0700 WIB m=+10.05961925192.983584ms~
2025/01/28 00:34:08 2025-01-28 00:34:08.888088 +0700 WIB m=+9.966305209~::1~POST~/api/v1/web/ListProductHome~ "Header=>Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Connection:keep-alive | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | Signature:95b99d708327939f346d73dd193a7b76 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1"~{"Ip":"","Id":""}~2002025-01-28 00:34:08.981412 +0700 WIB m=+10.05962945993.32425ms~
2025/01/28 00:34:08 2025-01-28 00:34:08.894256 +0700 WIB m=+9.972473042~::1~POST~/api/v1/web/ListHeroHome~ "Header=>Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty | Content-Length:17 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Accept-Language:en-US,en | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76"~{"Ip":"","Id":""}~2002025-01-28 00:34:08.981395 +0700 WIB m=+10.05961245987.139417ms~
2025-01-28 17:06:36.684241 +0700 WIB m=+2388.043281460~::1~POST~/api/v1/web/ListHeaderMenu~ "Header=>Sec-Gpc:1 | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:17 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Connection:keep-alive | Accept-Language:en-US,en"~{"Ip":"","Id":""}~2002025-01-28 17:06:36.707104 +0700 WIB m=+2388.06614491822.863458ms~
2025-01-28 17:06:36.68412 +0700 WIB m=+2388.043160793~::1~POST~/api/v1/web/ListCategoryDevHome~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Referer:http://localhost:3000/ | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Accept-Language:en-US,en | Origin:http://localhost:3000 | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:17 | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1"~{"Ip":"","Id":""}~2002025-01-28 17:06:36.709112 +0700 WIB m=+2388.06815287624.992083ms~
2025-01-28 17:06:36.685104 +0700 WIB m=+2388.044144876~::1~POST~/api/v1/web/ListHeroHome~ "Header=>Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Fetch-Mode:cors | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en | Referer:http://localhost:3000/"~{"Ip":"","Id":""}~2002025-01-28 17:06:36.709305 +0700 WIB m=+2388.06834608524.201209ms~
2025-01-28 17:06:36.684959 +0700 WIB m=+2388.044000335~::1~POST~/api/v1/web/ListProductHome~ "Header=>Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Connection:keep-alive | Content-Length:17 | Sec-Gpc:1"~{"Ip":"","Id":""}~2002025-01-28 17:06:36.709371 +0700 WIB m=+2388.06841158524.41125ms~
2025-01-28 17:06:36.683959 +0700 WIB m=+2388.043000293~::1~POST~/api/v1/web/ListImageDevHome~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Content-Length:34 | Accept:*/* | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Signature:b90e9277bde8ee5ec6105cf466e204f2 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Origin:http://localhost:3000"~{"Ip":"","Id":"","CategoryId":"1"}~2002025-01-28 17:06:36.709416 +0700 WIB m=+2388.06845654325.45625ms~
2025-01-28 17:10:39.331491 +0700 WIB m=+2630.690532043~::1~POST~/api/v1/web/ListProductHome~ "Header=>Connection:keep-alive | Accept:*/* | Sec-Fetch-Dest:empty | Sec-Gpc:1 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Fetch-Mode:cors | Sec-Fetch-Site:same-site | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Origin:http://localhost:3000"~{"Ip":"","Id":""}~2002025-01-28 17:10:39.336392 +0700 WIB m=+2630.6954330854.901042ms~
2025-01-28 17:10:39.331452 +0700 WIB m=+2630.690492543~::1~POST~/api/v1/web/ListHeroHome~ "Header=>Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Origin:http://localhost:3000 | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76 | Content-Type:application/json | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Content-Length:17"~{"Ip":"","Id":""}~2002025-01-28 17:10:39.336399 +0700 WIB m=+2630.6954399604.947417ms~
2025-01-28 17:10:39.331431 +0700 WIB m=+2630.690471710~::1~POST~/api/v1/web/ListImageDevHome~ "Header=>Content-Length:34 | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Connection:keep-alive | Accept:*/* | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/ | Signature:b90e9277bde8ee5ec6105cf466e204f2 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site"~{"Ip":"","Id":"","CategoryId":"1"}~2002025-01-28 17:10:39.336465 +0700 WIB m=+2630.6955061685.034458ms~
2025-01-28 17:10:39.331579 +0700 WIB m=+2630.690619460~::1~POST~/api/v1/web/ListCategoryDevHome~ "Header=>Sec-Fetch-Mode:cors | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Accept-Encoding:gzip, deflate, br, zstd | Content-Type:application/json | Accept:*/* | Connection:keep-alive | Sec-Gpc:1 | Sec-Fetch-Dest:empty"~{"Ip":"","Id":""}~2002025-01-28 17:10:39.336505 +0700 WIB m=+2630.6955457514.926291ms~
